Time Range,mmsi,Entry Timestamp,Exit Timestamp,Vessel Presence Hours
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549292,2024-07-18T16:00:00Z,2024-08-17T21:00:00Z,234
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549359,2024-07-18T16:00:00Z,2024-08-17T23:00:00Z,413
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431010887,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,295
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416002127,2024-07-18T03:00:00Z,2024-08-17T19:00:00Z,486
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416005531,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,388
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416005510,2024-07-21T14:00:00Z,2024-08-17T23:00:00Z,124
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416008893,2024-07-26T12:00:00Z,2024-08-01T04:00:00Z,103
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431484000,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,380
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416003409,2024-07-18T00:00:00Z,2024-07-20T23:00:00Z,11
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431579000,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,545
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431763000,2024-07-18T20:00:00Z,2024-07-28T13:00:00Z,51
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412300376,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,669
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416001519,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,727
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412329658,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,383
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416254500,2024-07-24T08:00:00Z,2024-08-17T23:00:00Z,222
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416002147,2024-07-18T00:00:00Z,2024-07-20T04:00:00Z,21
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431000546,2024-07-18T01:00:00Z,2024-08-17T23:00:00Z,690
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431200042,2024-07-27T08:00:00Z,2024-07-27T10:00:00Z,2
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549135,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,724
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431200170,2024-07-19T21:00:00Z,2024-07-28T11:00:00Z,71
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",308122000,2024-07-19T03:00:00Z,2024-07-19T20:00:00Z,18
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440384,2024-07-18T02:00:00Z,2024-08-16T05:00:00Z,80
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412422734,2024-07-18T00:00:00Z,2024-08-17T04:00:00Z,118
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431004286,2024-07-18T00:00:00Z,2024-07-30T21:00:00Z,273
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",628000012,2024-07-18T03:00:00Z,2024-08-16T23:00:00Z,245
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",432874000,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,505
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549501,2024-08-07T23:00:00Z,2024-08-17T19:00:00Z,237
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440482,2024-07-18T03:00:00Z,2024-08-17T23:00:00Z,478
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431600960,2024-07-18T03:00:00Z,2024-07-31T07:00:00Z,75
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",636021539,2024-07-24T05:00:00Z,2024-07-30T08:00:00Z,148
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431200254,2024-07-20T05:00:00Z,2024-07-27T16:00:00Z,87
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416002291,2024-07-18T00:00:00Z,2024-07-27T21:00:00Z,203
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416189700,2024-07-20T13:00:00Z,2024-08-12T04:00:00Z,118
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412439762,2024-07-18T00:00:00Z,2024-08-17T19:00:00Z,299
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416002216,2024-07-18T00:00:00Z,2024-08-07T18:00:00Z,494
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549572,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,744
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416241700,2024-08-02T03:00:00Z,2024-08-11T04:00:00Z,3
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412421012,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,640
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",432497000,2024-07-20T22:00:00Z,2024-07-27T18:00:00Z,109
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412331061,2024-07-18T00:00:00Z,2024-08-17T21:00:00Z,367
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549601,2024-07-19T04:00:00Z,2024-08-17T23:00:00Z,692
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431000860,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,335
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412439761,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,441
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431602570,2024-07-18T00:00:00Z,2024-07-27T05:00:00Z,109
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416004842,2024-08-03T23:00:00Z,2024-08-11T01:00:00Z,107
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412421008,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,554
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416004857,2024-07-30T13:00:00Z,2024-08-17T23:00:00Z,47
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440479,2024-07-18T03:00:00Z,2024-08-17T18:00:00Z,315
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416228900,2024-07-18T10:00:00Z,2024-08-01T02:00:00Z,30
